Nb,U_over_D,route,Z,Z_single_point,Z_converged,Z_by_npts,docc,ekin,etot,n_imp,chi2_normalized,scipy_cost_half,chi2_common_norm,fit_rel_rms,dDelta,iters,fixed_point_converged,fit_optimizer_converged,bath_approximation_quality,Z_estimator_converged,accuracy_qualified,accepted,temperature_semantics,T_over_D,bath_fit_beta,eps,V,wall,direction,code_commit,dirty
3,0.3,cg,0.9695316478679485,0.9667581247315102,1,2:0.96906;3:0.96692;4:0.96761;6:0.96953,0.22513579290163233,-0.42039834052748964,-0.35285760265699995,1.0000000000000027,0.09497133117949781,0.047485665589748906,0.00047485665589748905,0.13861044163907016,9.882923479587198e-09,12,1,1,good,1,1,1,ground_state,0,200,0;0.248182;-0.248182,0.0899476;0.317342;0.317342,0.28,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.4,cg,0.946574672078053,0.941798989460633,1,2:0.94576;3:0.94207;4:0.94326;6:0.94657,0.21685621794390975,-0.4175084243868502,-0.3307659372092863,0.9999999999999989,0.09549741837652924,0.04774870918826462,0.0004774870918826462,0.13950047743534943,8.704878151633112e-09,14,1,1,good,1,1,1,ground_state,0,200,0;0.248022;-0.248022,0.0899429;0.316598;0.316598,0.34,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,0.5,cg,0.9179669519232092,0.9108024547169761,1,2:0.91674;3:0.91121;4:0.91299;6:0.91797,0.20858363250446238,-0.4137952100987273,-0.30950339384649606,0.9999999999999996,0.0961911171982856,0.0480955585991428,0.000480955585991428,0.14066775205849436,6.05657990426778e-09,16,1,1,good,1,1,1,ground_state,0,200,0;0.247835;-0.247835,0.0899372;0.315643;0.315643,0.35,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,1.0,cg,0.7133925130634581,0.6926965821210428,0,2:0.70973;3:0.69387;4:0.69892;6:0.71339,0.16735767202192892,-0.3829275768387466,-0.2155699048168177,0.9999999999999999,0.10267987415530203,0.05133993707765101,0.0005133993707765101,0.15141823594269954,9.113817367456623e-09,21,1,1,coarse,0,0,1,ground_state,0,200,0;0.247251;-0.247251,0.089911;0.307734;0.307734,0.49,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,1.5,cg,0.4673634714737189,0.4397044395996773,0,2:0.46227;3:0.44119;4:0.44777;6:0.46736,0.12619138971910396,-0.33130780128709375,-0.1420207167084378,1.0000000000000013,0.11552830432186223,0.057764152160931115,0.0005776415216093111,0.17349025959273137,8.925542971383071e-09,29,1,1,coarse,0,0,1,ground_state,0,200,0;0.252718;-0.252718,0.0899941;0.295193;0.295193,0.67,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.0,cg,0.22185566722591166,0.20301361665467063,0,2:0.21876;3:0.20368;4:0.20781;6:0.22186,0.081541875699872,-0.25080517445936645,-0.08772142305962247,0.9999999999999993,0.1256415177150365,0.06282075885751826,0.0006282075885751825,0.2103699782322286,0.0,61,1,1,coarse,0,0,1,ground_state,0,200,0;0.317437;-0.317437,0.0906947;0.285763;0.285763,1.62,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.4,cg,0.06635499256057363,0.062496687112751304,0,2:0.06653;3:0.06247;4:0.06320;6:0.06635,0.03868298120386952,-0.15055838097167976,-0.057719226082392924,1.000000000000003,0.03483738947392217,0.017418694736961084,0.00017418694736961085,0.14789321282908144,0.0,63,1,1,good,0,0,1,ground_state,0,200,0;0.791507;-0.791507,0.0840947;0.32167;0.32167,1.78,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.5,cg,0.05410660827245143,0.05085996121042115,0,2:0.05424;3:0.05083;4:0.05145;6:0.05411,0.033599945485820876,-0.1372423095992332,-0.05324244588468101,1.000000000000001,0.02212656339234651,0.011063281696173256,0.00011063281696173255,0.12447125231144689,0.0,57,1,1,good,0,0,1,ground_state,0,200,0;0.890947;-0.890947,0.0810253;0.326462;0.326462,1.76,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,2.8,cg,0.03050672778157569,0.02810121486929018,0,2:0.03042;3:0.02811;4:0.02858;6:0.03051,0.023310164372528544,-0.10846796342917835,-0.04319950318609843,1.0000000000000018,0.004554206213866412,0.002277103106933206,2.277103106933206e-05,0.06510741414910566,0.0,62,1,1,good,0,0,1,ground_state,0,200,0;1.13904;-1.13904,0.0702568;0.33556;0.33556,1.86,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
3,3.0,cg,0.019856416066546777,0.01764523530631231,0,2:0.01958;3:0.01769;4:0.01813;6:0.01986,0.018644288183395114,-0.09439650263234452,-0.03846363808215918,1.0,0.0013020494728261675,0.0006510247364130838,6.510247364130838e-06,0.03797978393639452,0.0,86,1,1,good,0,0,1,ground_state,0,200,0;1.2774;-1.2774,0.0604585;0.339409;0.339409,2.64,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
