M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,bare_native,metal,1.0,0.01,Omega_over_D,-0.6949749720488327,0.00015100246865308814,-0.00015100246865308814,0.001,1,
1,bare_native,metal,1.0,0.01,E_kin_over_D,-0.36621092622682777,-0.00010381604612922912,0.00010381604612922912,0.001,1,
1,bare_native,metal,1.0,0.01,E_pot_over_D,0.17144749401539458,-0.0013363215526454766,-0.0013363215526454766,0.001,0,
1,bare_native,metal,1.0,0.01,E_tot_over_D,-0.1947634322114332,0.0009811411147354924,-0.0009811411147354924,0.001,1,
1,bare_native,metal,2.0,0.001,Z_pole,0.5952364923172222,-0.00047677030243635336,-0.00047677030243635336,0.001,1,
1,bare_native,metal,2.0,0.001,Z_mats,0.5952364923172214,-0.0004767703024369135,-0.0004767703024369135,0.001,1,
1,bare_native,metal,2.0,0.001,D_occ,0.0936601417100645,-0.000627882779165417,-0.000627882779165417,0.001,1,
1,bare_native,metal,2.0,0.001,n,1.0000000000000002,-2.2204460492503126e-16,-2.2204460492503126e-16,0.001,1,
1,bare_native,metal,2.0,0.001,Omega_over_D,-1.0615780482072772,-6.023896703357635e-05,6.023896703357635e-05,0.001,1,
1,bare_native,metal,2.0,0.001,E_kin_over_D,-0.2509447886620753,-0.000826156441155822,0.000826156441155822,0.001,1,
1,bare_native,metal,2.0,0.001,E_pot_over_D,0.187320283420129,-0.000627882779165417,-0.000627882779165417,0.001,1,
1,bare_native,metal,2.0,0.001,E_tot_over_D,-0.06362450524194632,-0.0014099044548740243,0.0014099044548740243,0.001,0,
1,bare_native,metal,2.0,0.01,Z_pole,0.5935632769410483,-1.234631285393731e-05,-1.234631285393731e-05,0.001,1,
1,bare_native,metal,2.0,0.01,Z_mats,0.593563276941047,-1.2346312853376204e-05,-1.2346312853376204e-05,0.001,1,
1,bare_native,metal,2.0,0.01,D_occ,0.09330798141057318,-1.8690379718721248e-05,-1.8690379718721248e-05,0.001,1,
1,bare_native,metal,2.0,0.01,n,1.0000000000000004,0.0,0.0,0.001,1,
1,bare_native,metal,2.0,0.01,Omega_over_D,-1.062220069375055,-6.222726704803813e-07,6.222726704803813e-07,0.001,1,
1,bare_native,metal,2.0,0.01,E_kin_over_D,-0.24969034545157914,-2.7120446885008034e-05,2.7120446885008034e-05,0.001,1,
1,bare_native,metal,2.0,0.01,E_pot_over_D,0.18661596282114637,-1.8690379718721248e-05,-1.8690379718721248e-05,0.001,1,
1,bare_native,metal,2.0,0.01,E_tot_over_D,-0.06307438263043277,-5.2062190827254644e-05,5.2062190827254644e-05,0.001,1,
1,bare_native,metal,2.5,0.001,Z_pole,0.38199335810636287,-0.0012104707241567222,-0.0012104707241567222,0.001,0,
1,bare_native,metal,2.5,0.001,Z_mats,0.3819933581063621,-0.001210470724157306,-0.001210470724157306,0.001,0,
