M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,continuum_nodes,value_Nk16,abs_Nk16,rel_Nk16,scaleaware_Nk16,value_Nk32,abs_Nk32,rel_Nk32,scaleaware_Nk32,value_Nk64,abs_Nk64,rel_Nk64,scaleaware_Nk64
1,R_native,metal,2.5,0.001,Z_pole,0.3786786946267426,4001,0.37121036735105106,-0.007468327275691522,-0.019722068818930863,-0.019722068818930863,0.37685813406606583,-0.0018205605606767539,-0.00480766567147711,-0.00480766567147711,0.3782688972246872,-0.0004097974020553785,-0.0010821770748399488,-0.0010821770748399488
1,R_native,metal,2.5,0.001,Z_mats,0.37867869462674175,4001,0.3712103673510501,-0.007468327275691633,-0.0197220688189312,-0.0197220688189312,0.3768581340660647,-0.0018205605606770314,-0.004807665671477853,-0.004807665671477853,0.37826889722468626,-0.00040979740205548953,-0.0010821770748402444,-0.0010821770748402444
1,R_native,metal,2.5,0.001,D_occ,0.05496235812212887,4001,0.05374156079282473,-0.0012207973293041421,-0.02221151659089071,-0.02221151659089071,0.05466413759343667,-0.00029822052869220295,-0.005425904908038031,-0.005425904908038031,0.05489525174987427,-6.710637225459948e-05,-0.00122095147565332,-0.00122095147565332
1,R_native,metal,2.5,0.001,n,0.9999999999999999,4001,0.9999999999999998,-1.1102230246251565e-16,-1.1102230246251568e-16,-1.1102230246251568e-16,1.0000000000000009,9.992007221626409e-16,9.99200722162641e-16,9.99200722162641e-16,1.0,1.1102230246251565e-16,1.1102230246251568e-16,1.1102230246251568e-16
1,R_native,metal,2.5,0.001,Omega_over_D,-1.274087893009721,4001,-1.2732684110346675,0.0008194819750535487,-0.0006431910855990657,0.0006431910855990657,-1.2739118844068997,0.00017600860282129815,-0.00013814478874414298,0.00013814478874414298,-1.2740570166729484,3.0876336772678314e-05,-2.423407124585457e-05,2.423407124585457e-05
1,R_native,metal,2.5,0.001,E_kin_over_D,-0.1643054621976123,4001,-0.16035789227545577,0.00394756992215653,-0.02402579846924831,0.02402579846924831,-0.16333865961744817,0.0009668025801641278,-0.00588417796482835,0.00588417796482835,-0.16408796157163827,0.00021750062597403197,-0.0013237577318789388,0.0013237577318789388
1,R_native,metal,2.5,0.001,E_pot_over_D,0.13740589530532218,4001,0.13435390198206182,-0.0030519933232603658,-0.022211516590890785,-0.022211516590890785,0.13666034398359167,-0.0007455513217305143,-0.005425904908038081,-0.005425904908038081,0.13723812937468569,-0.0001677659306364987,-0.0012209514756533198,-0.0012209514756533198
1,R_native,metal,2.5,0.001,E_tot_over_D,-0.026899566892290117,4001,-0.026003990293393953,0.0008955765988961639,-0.03329334641268339,0.01791153197792328,-0.026678315633856503,0.00022125125843361348,-0.008225086274419828,0.00442502516867227,-0.026849832196952583,4.9734695337533275e-05,-0.0018489032011808377,0.0009946939067506655
1,R_native,metal,2.5,0.01,Z_pole,0.3724419269582257,4001,0.36871769108931995,-0.0037242358689057453,-0.009999507572420727,-0.009999507572420727,0.37227151321429436,-0.00017041374393134134,-0.0004575578945236622,-0.0004575578945236622,0.37244240830467623,4.813464505315501e-07,1.292406723546835e-06,1.292406723546835e-06
1,R_native,metal,2.5,0.01,Z_mats,0.3724419269582248,4001,0.36871769108931907,-0.0037242358689057453,-0.009999507572420751,-0.009999507572420751,0.3722715132142935,-0.00017041374393128583,-0.00045755789452351427,-0.00045755789452351427,0.3724424083046753,4.81346450476039e-07,1.2924067233977917e-06,1.2924067233977917e-06
1,R_native,metal,2.5,0.01,D_occ,0.05394313259810748,4001,0.053336653712822785,-0.0006064788852846933,-0.01124293039863189,-0.01124293039863189,0.05391534434374561,-2.7788254361865716e-05,-0.0005151397967355093,-0.0005151397967355093,0.053943127932748955,-4.665358523114893e-09,-8.648660725496262e-08,-8.648660725496262e-08
1,R_native,metal,2.5,0.01,n,1.0000000000000007,4001,0.9999999999999999,-7.771561172376096e-16,-7.771561172376091e-16,-7.771561172376091e-16,1.0000000000000002,-4.440892098500626e-16,-4.440892098500623e-16,-4.440892098500623e-16,1.0,-6.661338147750939e-16,-6.661338147750935e-16,-6.661338147750935e-16
1,R_native,metal,2.5,0.01,Omega_over_D,-1.2750390430831224,4001,-1.2748947803010147,0.00014426278210777355,-0.00011314381539167406,0.00011314381539167406,-1.2750353127209664,3.7303621560624833e-06,-2.92568464965766e-06,2.92568464965766e-06,-1.2750388938728854,1.4921023705483094e-07,-1.1702405339214668e-07,1.1702405339214668e-07
1,R_native,metal,2.5,0.01,E_kin_over_D,-0.16100731778898575,4001,-0.15905496627164992,0.001952351517335832,-0.012125855794297253,0.012125855794297253,-0.16091774929347377,8.956849551197688e-05,-0.0005563007740391295,0.0005563007740391295,-0.16100698289324858,3.3489573716960486e-07,-2.0800032058699046e-06,2.0800032058699046e-06
1,R_native,metal,2.5,0.01,E_pot_over_D,0.1348578314952687,4001,0.13334163428205698,-0.001516197213211723,-0.011242930398631812,-0.011242930398631812,0.13478836085936402,-6.947063590467817e-05,-0.0005151397967356122,-0.0005151397967356122,0.1348578198318724,-1.1663396304317786e-08,-8.648660722923592e-08,-8.648660722923592e-08
1,R_native,metal,2.5,0.01,E_tot_over_D,-0.02614948629371705,4001,-0.02571333198959294,0.00043615430412410894,-0.016679268541841447,0.008723086082482179,-0.02612938843410975,2.0097859607298707e-05,-0.0007685756951993214,0.00040195719214597414,-0.026149163061376185,3.2323234086528707e-07,-1.236094419732254e-05,6.464646817305741e-06
1,R_native,metal,3.0,0.001,Z_pole,0.11972610943721967,4001,0.11038951311136962,-0.009336596325850058,-0.07798295935395656,-0.07798295935395656,0.11807875493289897,-0.0016473545043207,-0.013759358857179911,-0.013759358857179911,0.11951131189143414,-0.00021479754578553056,-0.0017940743818971512,-0.0017940743818971512
